user_id,session_count_7d,feature_breadth,avg_session_duration_min,days_since_last_use,engagement_score,churned,plan,segment
usr_cb185d38,13,6,58.12,0,84.74,0,pro,power_user
usr_ef9554f0,17,6,49.31,0,84.05,0,pro,power_user
usr_52521a68,20,10,50.08,1,89.88,0,pro,power_user
usr_1c8d6880,14,10,53.24,0,91.18,0,pro,power_user
usr_5b2f1a00,13,7,50.35,0,84.65,0,enterprise,power_user
usr_ba68ca87,12,6,20.39,0,92.82,0,enterprise,power_user
usr_a2e84a29,20,10,50.66,0,90.73,0,enterprise,power_user
usr_db95648b,11,7,58.81,1,90.37,0,enterprise,power_user
usr_c502943f,13,9,37.07,0,80.48,0,enterprise,power_user
usr_568d6d44,19,10,27.37,0,90.89,0,pro,power_user
usr_e2fb87e9,17,9,44.17,0,83.24,0,pro,power_user
usr_5e155318,14,9,40.31,1,96.66,0,pro,power_user
usr_4f973b23,12,7,49.49,1,83.61,0,enterprise,power_user
usr_bde1f96f,13,10,58.57,0,96.91,0,pro,power_user
usr_2f09a496,12,10,39.35,1,80.41,0,pro,power_user
usr_22db8694,14,9,21.84,1,91.16,0,pro,power_user
usr_7d0ee58e,11,6,30.42,1,85.44,0,pro,power_user
usr_62dc9b9f,16,7,37.5,0,91.28,0,pro,power_user
usr_c1cd3831,11,9,55.29,0,80.19,0,pro,power_user
usr_74019628,17,9,45.46,0,87.48,0,enterprise,power_user
usr_d6c0cf30,10,8,55.23,0,97.08,0,pro,power_user
usr_96f1104c,19,6,30.43,1,80.32,0,enterprise,power_user
usr_0ceefa2f,14,6,28.71,0,87.52,0,enterprise,power_user
usr_9ba49726,13,9,40.12,0,87.79,0,pro,power_user
usr_ce7cac2a,17,6,55.08,0,80.08,0,pro,power_user
usr_6a8bf278,17,9,24.84,0,91.11,0,enterprise,power_user
usr_c0c83cb1,15,7,34.65,1,87.88,0,enterprise,power_user
usr_a13a189a,14,7,51.81,0,90.41,0,enterprise,power_user
usr_a717b055,18,7,49.06,0,94.9,0,enterprise,power_user
usr_4c775817,18,8,21.95,0,96.08,0,enterprise,power_user
usr_827386c3,13,10,48.07,1,81.1,0,pro,power_user
usr_e2912d07,11,8,29.49,1,90.52,0,pro,power_user
usr_4b81bf79,17,6,50.77,1,89.25,0,pro,power_user
usr_706f6f8e,16,6,40.23,1,87.04,0,enterprise,power_user
usr_febbd9f9,15,9,35.96,1,92.77,0,enterprise,power_user
usr_d8529fe7,19,10,30.47,0,88.7,0,enterprise,power_user
usr_fecb7057,13,9,39.21,0,86.75,0,pro,power_user
usr_971cff56,20,8,21.77,0,82.7,0,pro,power_user
usr_f661e562,19,8,58.6,1,97.31,0,enterprise,power_user
usr_35aa69a0,11,7,51.22,1,95.1,0,pro,power_user
usr_3059b289,15,7,42.75,0,95.5,0,enterprise,power_user
usr_4e562227,15,10,20.31,1,94.55,0,pro,power_user
usr_b88f5d07,15,7,32.16,1,91.78,0,enterprise,power_user
usr_8f09d623,18,7,36.01,0,92.3,0,enterprise,power_user
usr_b1f3379d,16,9,22.3,1,90.33,0,enterprise,power_user
usr_88f2b8b4,20,6,49.19,1,90.68,0,enterprise,power_user
usr_efac8fc6,15,6,45.24,1,93.57,0,pro,power_user
usr_9f01e4c7,17,8,46.28,0,98.07,0,pro,power_user
usr_f86a2f20,18,7,21.36,1,81.9,0,pro,power_user
usr_e8877fe9,13,9,56.22,0,94.45,0,enterprise,power_user
usr_6939273b,12,6,48.75,1,84.3,0,pro,power_user
usr_bd9bbe3d,13,8,56.04,0,97.48,0,pro,power_user
usr_1d0dda93,11,8,36.75,1,80.5,0,pro,power_user
usr_8292c431,14,7,44.06,1,93.47,0,enterprise,power_user
usr_47ccf54f,19,8,21.41,1,98.75,0,enterprise,power_user
usr_54ce9fbd,18,9,25.42,0,94.4,0,enterprise,power_user
usr_dfc49e56,19,8,42.03,0,87.68,0,pro,power_user
usr_08679f63,12,10,43.1,0,83.07,0,enterprise,power_user
usr_38261638,19,10,29.41,0,86.79,0,enterprise,power_user
usr_840a3143,11,8,29.37,0,95.86,0,pro,power_user
usr_13da1873,14,7,59.4,1,90.64,0,enterprise,power_user
usr_0dab9783,14,6,44.0,1,90.85,0,enterprise,power_user
usr_050b79ac,11,10,20.66,1,85.34,0,enterprise,power_user
usr_172937ac,16,9,46.2,0,87.43,0,pro,power_user
usr_26216460,12,10,27.1,0,89.68,0,enterprise,power_user
usr_456ece46,15,6,59.87,1,92.7,0,pro,power_user
usr_f9b00887,14,8,30.5,0,88.64,0,pro,power_user
usr_ee2cd196,19,9,30.28,0,96.77,0,enterprise,power_user
usr_2ad8f785,20,6,29.17,0,94.01,0,enterprise,power_user
usr_d9f35641,17,7,55.84,0,86.73,0,enterprise,power_user
usr_01f08a05,12,7,40.38,1,99.63,0,enterprise,power_user
usr_7457dc73,13,6,41.58,0,99.15,0,enterprise,power_user
usr_208348bc,20,8,56.13,1,81.82,0,enterprise,power_user
usr_b8636751,18,7,45.66,0,86.9,0,pro,power_user
usr_34b3720f,15,6,40.73,0,85.8,0,pro,power_user
usr_fcf6861c,17,10,52.08,1,86.45,0,pro,power_user
usr_cebd77be,17,10,30.36,1,84.96,0,enterprise,power_user
usr_a01c6951,18,7,40.4,0,83.16,0,enterprise,power_user
usr_2a51a7f7,17,7,51.5,0,92.27,0,pro,power_user
usr_306077b2,11,7,52.01,0,99.49,0,enterprise,power_user
usr_443c7a04,11,8,33.56,1,81.84,0,pro,power_user
usr_9b76268c,10,6,35.15,1,83.41,0,enterprise,power_user
usr_b5b6e0ad,17,8,48.11,1,99.62,0,enterprise,power_user
usr_a754cdc7,15,10,20.03,1,83.94,0,enterprise,power_user
usr_51207f94,18,7,54.62,1,81.49,0,pro,power_user
usr_4e61d02a,18,6,33.47,0,86.8,0,enterprise,power_user
usr_0d7aad1b,20,7,34.16,1,99.74,0,pro,power_user
usr_a0dcaf0f,12,7,23.44,0,89.2,0,enterprise,power_user
usr_4eac1b07,13,7,54.59,0,93.98,0,enterprise,power_user
usr_4edbef86,17,7,34.42,1,83.47,0,enterprise,power_user
usr_ad2a05d4,10,6,54.19,0,90.62,0,enterprise,power_user
usr_6c8a28f8,15,8,40.48,0,98.66,0,pro,power_user
usr_572fe5af,10,7,31.36,1,81.82,0,enterprise,power_user
usr_08825de7,14,7,49.48,0,91.48,0,pro,power_user
usr_fa8b704c,11,8,20.3,0,95.87,0,pro,power_user
usr_e007bd2c,17,10,36.94,1,88.06,0,enterprise,power_user
usr_f5ac77da,20,8,21.65,0,80.17,0,pro,power_user
usr_5edc454a,17,10,21.21,1,99.54,0,enterprise,power_user
usr_a1dabca1,17,8,52.84,1,98.97,0,pro,power_user
usr_e97cc726,15,8,51.81,0,89.38,0,enterprise,power_user
usr_a49b062a,16,6,50.29,0,82.63,0,enterprise,power_user
usr_17d718ac,18,10,31.81,1,97.34,0,pro,power_user
usr_b30d51eb,12,8,59.44,0,89.06,0,enterprise,power_user
usr_372b5fb2,18,9,33.7,1,88.18,0,pro,power_user
usr_c1edf11a,19,6,27.77,0,91.75,0,enterprise,power_user
usr_fa4989f2,14,7,36.76,0,80.02,0,pro,power_user
usr_a9d623e0,12,6,38.58,1,86.84,0,pro,power_user
usr_70f299d0,18,8,27.19,1,93.88,0,pro,power_user
usr_5de9ce80,14,10,28.47,0,94.31,0,enterprise,power_user
usr_867f4f21,16,7,46.19,0,94.82,0,pro,power_user
usr_ccd4fed4,11,10,24.51,0,82.29,0,enterprise,power_user
usr_d74f78a9,13,8,37.2,0,91.53,0,enterprise,power_user
usr_aa5a4690,20,6,31.44,1,81.54,0,enterprise,power_user
usr_88f2e770,18,10,33.6,0,82.04,0,pro,power_user
usr_d6ec7ef8,20,7,44.16,1,94.72,0,enterprise,power_user
usr_3a16caa0,18,10,26.67,1,97.44,0,enterprise,power_user
usr_c894aa47,11,10,26.09,0,83.47,0,enterprise,power_user
usr_db923a80,20,10,51.34,0,87.77,0,enterprise,power_user
usr_0813f222,19,10,32.48,1,98.83,0,enterprise,power_user
usr_d65b4c9f,11,7,20.23,1,83.2,0,pro,power_user
usr_a446f4bb,19,9,20.53,1,86.81,0,enterprise,power_user
usr_ca5ead5c,15,8,46.48,1,95.64,0,enterprise,power_user
usr_5c8d128f,17,8,24.33,1,85.59,0,enterprise,power_user
usr_f416146c,19,8,36.15,0,85.37,0,enterprise,power_user
usr_ec8e695d,17,6,54.74,1,99.73,0,pro,power_user
usr_e2e8e358,16,8,32.89,1,98.08,0,enterprise,power_user
usr_8aee4907,12,10,29.46,0,98.51,0,enterprise,power_user
usr_00dcdb40,17,7,52.69,0,93.79,0,pro,power_user
usr_947627fe,10,6,25.07,0,99.48,0,pro,power_user
usr_1adc32a6,17,10,52.12,0,86.29,0,pro,power_user
usr_c6c4c3ec,11,6,38.87,1,98.66,0,pro,power_user
usr_24040ec8,19,10,38.72,0,93.65,0,pro,power_user
usr_b1aab464,15,10,26.64,1,88.52,0,enterprise,power_user
usr_9667cf00,13,8,22.65,0,96.76,0,enterprise,power_user
usr_1d37946e,16,9,30.31,1,94.33,0,enterprise,power_user
usr_b4d671c6,14,9,38.4,0,84.89,0,enterprise,power_user
usr_15ee4e28,10,10,27.7,0,81.54,0,pro,power_user
usr_46e75822,20,10,45.25,1,90.41,0,enterprise,power_user
usr_8644f815,16,9,58.03,1,86.54,0,enterprise,power_user
usr_c2c283e7,10,8,21.0,1,95.38,0,enterprise,power_user
usr_0c2f1d23,14,7,41.41,1,95.43,0,pro,power_user
usr_4a854790,15,8,41.5,1,93.08,0,enterprise,power_user
usr_9df7b4a1,19,7,51.11,0,84.26,0,pro,power_user
usr_739b84a5,11,6,21.21,1,85.04,0,pro,power_user
usr_a1db76e8,11,7,51.12,0,91.51,0,enterprise,power_user
usr_5b2ceb48,10,7,40.84,0,93.59,0,pro,power_user
usr_6f06b45b,18,10,32.18,0,94.28,0,enterprise,power_user
usr_7bf0e7f7,19,8,38.32,0,89.55,0,enterprise,power_user
usr_99883b13,14,8,24.48,0,97.31,0,pro,power_user
usr_3fae35fa,18,7,23.33,0,98.58,0,enterprise,power_user
usr_98358623,15,10,56.86,0,94.16,0,pro,power_user
usr_3dcc2bdc,20,10,57.18,0,80.05,0,enterprise,power_user
usr_38e4b6b1,12,7,23.82,1,99.25,0,enterprise,power_user
usr_4d926972,12,8,23.21,0,87.54,0,enterprise,power_user
usr_8b05fa07,10,10,26.93,1,96.04,0,enterprise,power_user
usr_7c148921,15,10,53.77,1,94.82,0,pro,power_user
usr_85e5d9d2,12,9,37.8,0,92.56,0,enterprise,power_user
usr_6137d3dc,14,10,49.12,0,87.68,0,enterprise,power_user
usr_701a33af,11,7,47.46,1,90.67,0,enterprise,power_user
